variable,lambda,kappa
model,0.7724018475529417,0.372472245008295
model,0.41391048118582924,0.2987001662543991
model,0.5025394585070316,0.21188131472529603
model,0.5477194180199109,0.28085779401097416
model,0.6348793921609766,0.29954003617722275
model,0.8433801820212765,0.4850038111927226
model,0.5863420247445469,0.2582696309338934
model,0.5024528147286643,0.297228459393642
model,0.6037194497356904,0.2854901443326723
model,0.8349084643044492,0.45162651836815754
model,0.7397607630032679,0.48406782414769456
model,0.4799996050371989,0.22092142389100203
model,0.18882156971611694,0.19819561535931288
model,0.6631856274671958,0.26191384387933203
model,0.8056100979546774,0.32215844950771877
model,0.8735499276323976,0.41307394988216917
model,0.5877767687330081,0.21426272109960573
model,0.9929425140139095,0.6805720902668885
model,0.774304746521589,0.32990227693686697
model,0.7079045703592722,0.33597501955294756
model,0.4797580579911318,0.1858459676067984
model,0.7509575223737825,0.30716197447443555
model,0.8285280158931947,0.36771048806327644
model,0.6281953737224003,0.3141771039807057
model,0.4213670779110162,0.23783932463196364
model,0.7574127178197015,0.2864184919162901
model,0.5963590261659992,0.2990973031039089
model,0.472783878872716,0.26262766255806896
model,0.9247596521182089,0.36531293320193614
model,0.7254306737444308,0.3100697100594108
model,0.9999338930386481,0.5723527392159238
model,0.857488217514841,0.4602717647895755
model,0.8462196906171052,0.4158708892952195
model,0.6302933543060518,0.29256520817668086
model,0.7836131902942116,0.34576864581917455
model,0.7029353308695634,0.30532681822496405
model,0.682287539145295,0.1812264363864053
model,0.6138453695432327,0.27961097033075794
model,0.4871192718090021,0.253173064245046
model,0.7220983559852122,0.33041494288699075
model,0.7836312417712737,0.3569651898431417
model,0.8058171746872206,0.32388969271061485
model,0.36618724315871887,0.2372402237056938
model,0.5959265097397084,0.3118315668467177
model,0.9034339840643242,0.44810255289706413
model,0.5830066835341471,0.2743204899885393
model,0.6682780658299892,0.2793912370118977
model,0.5500363648836349,0.22008932480425716
model,0.724320288361832,0.295564569886569
model,0.7490837700712007,0.2860561912699153
model,0.8276468112318509,0.4092879031342264
model,0.5092029968106775,0.20099127538359893
model,0.889731265755012,0.361295071052256
model,0.7879608250445695,0.32855856039076137
model,0.8178756557748712,0.37938346846386595
model,0.818402517662792,0.36763582767897296
model,0.3875896941131925,0.22540858871583103
model,0.8514183741646331,0.459412138000145
model,0.5359092122872781,0.2885152182306093
model,0.8363250745232993,0.43311464591007
model,0.5650084420517233,0.31616773658256386
model,0.6785696878720606,0.3756560091650815
model,0.6375467054588548,0.3250882080012523
model,0.8452767362222394,0.4631610628696274
model,0.7755689534909742,0.327445550156832
model,0.7444442579047408,0.29600626213927933
model,0.7735334717481875,0.3382735614875667
model,0.8390351687205516,0.3967157076499956
model,0.4240679040590569,0.27323520982102456
model,0.635709020489625,0.22475378979827101
model,0.7789265858335995,0.35094982152443993
model,0.887855051144901,0.40349369739299895
model,0.8829215860389193,0.3467794516788696
model,0.6871447553034489,0.3574587744340622
model,0.9035874767126566,0.46155588291509686
model,0.9832834067552936,0.7052006811396736
model,0.3089743076613229,0.20081571191676129
model,0.672085470980794,0.3629556181682841
model,0.570973762167816,0.2613035485038228
model,0.8749199793227471,0.43415556844184977
model,0.826344105837047,0.38220438828591313
model,0.8599249348291438,0.44173691976272106
model,0.8686285650100787,0.4625113272279345
model,0.5085052422648125,0.21890676981920687
model,0.614027753424738,0.3184576821227306
model,0.7182883851571025,0.43631145478091293
model,0.7272982761482167,0.30347177165992306
model,0.5280945116086843,0.31028403894310225
model,0.7217104095073192,0.35236063579013394
model,0.7065072195045408,0.3223112842644925
model,0.6286501107940515,0.29538368823553746
model,0.467608599365556,0.23110757012279923
model,0.5631570087648516,0.3255058131587224
model,0.6939637401663825,0.3532952192709641
model,0.5762992298581358,0.28574770590749166
model,0.6260603677662238,0.31710786572172356
model,0.7782156481259812,0.3174729347562517
model,0.7748936189488868,0.3801664206047677
model,0.5614322091176762,0.23144605423387912
model,0.8318842484522847,0.32463157839709295
model,0.6127120362869067,0.2689962143979386
model,0.638269804804443,0.1963051180417193
model,0.6877396042401919,0.26120339528826547
model,0.5215161032036729,0.21746563265585317
model,0.7963548822549785,0.3203595912993897
model,0.7206650579508329,0.31652378606070636
model,0.8455184427231779,0.4124832352736844
model,0.8445674626997863,0.39303880345396575
model,0.7843687630109516,0.3644191481813689
model,0.7453681795858265,0.3959593370015637
model,0.7967696737173477,0.35983395415987546
model,0.7404432162907836,0.33564589175702314
model,0.5328702597523943,0.26645177538965165
model,0.6761443184186197,0.34984683158887664
model,0.560890946400351,0.18462836576082736
model,0.7610683687898507,0.31351123389825786
