variable,lambda,kappa
model,0.6062985140783534,0.30853504524561653
model,0.7327654915253363,0.34804916800666275
model,0.567883675369988,0.24028475802619456
model,0.900231291577028,0.36796966484636023
model,0.8188482630799557,0.4457375450547727
model,0.46384933241430776,0.24659241428772707
model,0.7535409140892027,0.3567133076460539
model,0.7658720073825719,0.3365137258787878
model,0.8327257745200698,0.44518993040031074
model,0.8785266507807962,0.4711808563848849
model,0.6903613828954619,0.3173832085700725
model,0.5899384510203202,0.20709487109536295
model,0.8365836244226561,0.3623330386860774
model,0.4404973946138334,0.29091496252467425
model,0.5909180011483828,0.20568634389978208
model,0.7601796065844143,0.27098062694436287
model,0.8123643793136335,0.2596062029808282
model,0.4447680984943542,0.297196804196467
model,0.7480031410688884,0.3101940651071515
model,0.8057226041805791,0.4518534477148513
model,0.6047061811962688,0.2397742452392553
model,0.7732440447476229,0.33019598446350895
model,0.8347068232058837,0.3561022963021857
model,0.7119045790560896,0.3296711583249865
model,0.8788060340442023,0.4749757397200467
model,0.6803483354429953,0.3251558149342344
model,0.5449394227056495,0.23741584480013447
model,0.6203667968396747,0.30770834081170556
model,0.7163409108814432,0.4288107753349126
model,0.771087545256709,0.28752771840826014
model,0.6102781655825827,0.2980473542901029
model,0.83086009741691,0.42299843352911193
model,0.7908408999255682,0.31369640015979305
model,0.6767929953406747,0.2908071381013961
model,0.4026853980199653,0.22315696918012054
model,0.406747969582917,0.2048253101246947
model,0.27650739312872535,0.19294340996275308
model,0.791614517095612,0.38945336073267367
model,0.46649984999091676,0.2815147404456932
model,0.7674407983488192,0.26494081764830935
model,0.4324160186551339,0.2300475106565157
model,0.7227847179080618,0.3003921886066866
model,0.8966714064303166,0.5116905714446821
model,0.6802050543936667,0.31478892931928165
model,0.7202695395603231,0.2519697880680541
model,0.41658985968322787,0.2637029869428235
model,0.4620517612441415,0.24338950562523415
model,0.7432662004653592,0.36064279992362475
model,0.8651162299509808,0.35493758135406234
model,0.7448912649251059,0.2760832621742341
model,0.8384957655340786,0.3450553387624747
model,0.74735922980627,0.333107536903093
model,0.7454422286326304,0.298832930709177
model,0.7636919183515726,0.27429126744768306
model,0.5962588675162622,0.3101168185797139
model,0.7640056755568996,0.33499425697318636
model,0.6893511123126957,0.3057492382776138
model,0.36302855677502877,0.2669152507344346
model,0.5848333273381544,0.23506217327473214
model,0.8043851312665956,0.39361411215739905
model,0.6635033527716172,0.2836821453058762
model,0.6826822628401356,0.3029980770570763
model,0.4901335078264688,0.30712715206109614
model,0.8406091091020612,0.38630270901683533
model,0.5290642820595844,0.21549581957562672
model,0.8191524850793491,0.3982857902179484
model,0.66536802147427,0.29774702370430167
model,0.5798971123809311,0.24361770765792443
model,0.8641950074289209,0.4507900657724308
model,0.6377300042103671,0.21736318753014608
model,0.7987517037969639,0.3074748073189634
model,0.9999338930386481,0.4041279792143447
model,0.6172655180476856,0.37256647562200657
model,0.8419272723043122,0.31942991925655206
model,0.7102860021163109,0.22970810150138635
model,0.8942746757096798,0.4068011772194037
model,0.4246198023975769,0.2914267251596698
model,0.6941586672902849,0.30513989642987355
model,0.6361211965745508,0.3007634663898074
model,0.6169928190685638,0.31219520576989707
model,0.8334949324300508,0.4778616646480568
model,0.888499627771435,0.43813095083818254
model,0.7709690551471605,0.341892010373089
model,0.6921199180942049,0.286275951587673
model,0.9418663307188353,0.40944438538707656
model,0.7694074719305829,0.34362622480489974
model,0.7420329767416332,0.3319207730334897
model,0.3760974978305855,0.18654921875202868
model,0.8802586196616109,0.3558054492200738
model,0.9160747395112021,0.48698804371526055
model,0.33060968363016446,0.26740755769368774
model,0.7993024759861073,0.3357186430850005
model,0.8310303129550621,0.3858836192771781
model,0.5142799273203997,0.20620292790817737
model,0.7986439709101668,0.4130473420207825
model,0.3457058849416283,0.15695359461568575
model,0.19460051347935012,0.12799904437914433
